CaseDate,DailyCount
2020-03-16,1
2020-03-17,1
2020-03-20,2
2020-03-22,6
2020-03-24,4
2020-03-25,6
2020-03-26,3
2020-03-27,11
2020-03-28,10
2020-03-29,20
2020-03-30,15
2020-03-31,20
2020-04-01,19
2020-04-02,22
2020-04-03,18
2020-04-04,23
2020-04-05,13
2020-04-06,19
2020-04-07,17
2020-04-08,29
2020-04-09,18
2020-04-10,13
2020-04-11,21
2020-04-12,14
2020-04-13,17
2020-04-14,27
2020-04-15,18
2020-04-16,25
2020-04-17,23
2020-04-18,11
2020-04-19,23
2020-04-20,17
2020-04-21,13
2020-04-22,15
2020-04-23,19
2020-04-24,14
2020-04-25,13
2020-04-26,9
2020-04-27,34
2020-04-28,10
2020-04-29,12
2020-04-30,8
2020-05-01,9
2020-05-02,8
2020-05-03,15
2020-05-04,12
2020-05-05,14
2020-05-06,4
2020-05-07,7
2020-05-08,5
2020-05-09,13
2020-05-10,7
2020-05-11,11
2020-05-12,13
2020-05-13,16
2020-05-14,17
2020-05-15,19
2020-05-16,12
2020-05-17,18
2020-05-18,6
2020-05-19,7
2020-05-20,17
2020-05-21,13
2020-05-22,10
2020-05-23,6
2020-05-24,5
2020-05-25,12
2020-05-26,10
2020-05-27,10
2020-05-28,11
2020-05-29,7
2020-05-30,6
2020-05-31,8
2020-06-01,8
2020-06-02,7
2020-06-03,17
2020-06-04,7
2020-06-05,11
2020-06-06,11
2020-06-07,11
2020-06-08,10
2020-06-09,15
2020-06-10,13
2020-06-11,8
2020-06-12,25
2020-06-13,7
2020-06-14,2
2020-06-15,22
2020-06-16,14
2020-06-17,15
2020-06-18,19
2020-06-19,24
2020-06-20,18
2020-06-21,17
2020-06-22,24
2020-06-23,18
2020-06-24,25
2020-06-25,27
2020-06-26,23
2020-06-27,41
2020-06-28,18
2020-06-29,33
2020-06-30,22
2020-07-01,59
2020-07-02,38
2020-07-03,36
2020-07-04,36
2020-07-05,13
2020-07-06,72
2020-07-07,63
2020-07-08,33
2020-07-09,61
2020-07-10,61
2020-07-11,55
2020-07-12,59
2020-07-13,60
2020-07-14,39
2020-07-15,64
2020-07-16,69
2020-07-17,76
2020-07-18,61
2020-07-19,46
2020-07-20,39
2020-07-21,57
2020-07-22,39
2020-07-23,46
2020-07-24,51
2020-07-25,35
2020-07-26,44
2020-07-27,42
2020-07-28,40
2020-07-29,31
2020-07-30,42
2020-07-31,37
2020-08-01,24
2020-08-02,23
2020-08-03,44
2020-08-04,23
2020-08-05,45
2020-08-06,34
2020-08-07,31
2020-08-08,22
2020-08-09,11
2020-08-10,35
2020-08-11,29
2020-08-12,19
2020-08-13,18
2020-08-14,25
2020-08-15,14
2020-08-16,14
2020-08-17,13
2020-08-18,15
2020-08-19,16
2020-08-20,16
2020-08-21,12
2020-08-22,10
2020-08-23,9
2020-08-24,12
2020-08-25,10
2020-08-26,7
2020-08-27,12
2020-08-28,8
2020-08-29,5
2020-08-30,2
2020-08-31,31
2020-09-01,9
2020-09-02,2
2020-09-03,19
2020-09-04,3
2020-09-05,8
2020-09-06,2
2020-09-07,8
2020-09-08,9
2020-09-09,6
2020-09-10,10
2020-09-11,10
2020-09-12,4
2020-09-13,2
2020-09-14,7
2020-09-15,8
2020-09-16,7
2020-09-17,1
2020-09-18,11
2020-09-19,7
2020-09-20,4
2020-09-21,6
2020-09-22,3
2020-09-23,4
2020-09-24,4
2020-09-25,2
2020-09-26,5
2020-09-27,2
2020-09-28,10
2020-09-29,5
2020-09-30,5
2020-10-01,3
2020-10-02,5
2020-10-03,3
2020-10-04,2
2020-10-05,11
2020-10-06,5
2020-10-07,3
2020-10-09,1
2020-10-10,4
2020-10-11,3
2020-10-12,2
2020-10-13,4
2020-10-14,6
2020-10-15,8
2020-10-16,12
2020-10-17,4
2020-10-18,4
2020-10-19,6
2020-10-20,3
2020-10-21,8
2020-10-22,5
2020-10-23,4
2020-10-24,2
2020-10-25,4
2020-10-26,10
2020-10-27,9
2020-10-28,4
2020-10-29,6
2020-10-30,4
2020-10-31,10
2020-11-01,3
2020-11-02,12
2020-11-03,8
2020-11-04,12
2020-11-05,4
2020-11-06,3
2020-11-07,12
2020-11-08,6
2020-11-09,8
2020-11-10,4
2020-11-11,5
2020-11-12,13
2020-11-13,6
2020-11-14,12
2020-11-15,8
2020-11-16,14
2020-11-17,8
2020-11-18,9
2020-11-19,11
2020-11-20,11
2020-11-21,4
2020-11-22,10
2020-11-23,15
2020-11-24,12
2020-11-25,12
2020-11-26,12
2020-11-27,9
2020-11-28,8
2020-11-29,9
2020-11-30,9
2020-12-01,15
2020-12-02,14
2020-12-03,5
2020-12-04,16
2020-12-05,12
2020-12-06,8
2020-12-07,6
2020-12-08,10
2020-12-09,18
2020-12-10,12
2020-12-11,12
2020-12-12,18
2020-12-13,12
2020-12-14,13
2020-12-15,11
2020-12-16,5
2020-12-17,8
2020-12-18,10
2020-12-19,8
2020-12-20,5
2020-12-21,7
2020-12-22,2
2020-12-23,1
2020-12-24,4
2020-12-25,4
2020-12-26,2
2020-12-27,4
2020-12-28,14
2020-12-29,3
2020-12-30,3
2021-01-01,1
2021-01-02,3
2021-01-06,1
