CaseDate,DailyCount
2020-03-15,1
2020-03-16,2
2020-03-17,2
2020-03-18,1
2020-03-19,3
2020-03-20,1
2020-03-21,3
2020-03-22,1
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,8
2020-03-28,5
2020-03-30,7
2020-03-31,12
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,1
2020-04-06,18
2020-04-07,20
2020-04-08,10
2020-04-09,9
2020-04-10,9
2020-04-11,1
2020-04-12,3
2020-04-13,4
2020-04-14,3
2020-04-15,8
2020-04-20,1
2020-04-21,3
2020-04-22,2
2020-04-23,2
2020-04-24,2
2020-04-25,1
2020-04-28,2
2020-04-29,1
2020-04-30,3
2020-05-01,1
2020-05-02,1
2020-05-03,1
2020-05-04,2
2020-05-05,1
2020-05-06,2
2020-05-07,3
2020-05-08,3
2020-05-09,2
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-14,1
2020-05-16,1
2020-05-21,4
2020-05-22,3
2020-05-24,2
2020-05-27,2
2020-05-28,2
2020-05-29,2
2020-05-30,1
2020-06-03,2
2020-06-04,3
2020-06-08,1
2020-06-09,6
2020-06-10,1
2020-06-11,6
2020-06-12,2
2020-06-13,2
2020-06-15,4
2020-06-16,3
2020-06-17,3
2020-06-18,2
2020-06-19,3
2020-06-20,2
2020-06-21,2
2020-06-22,2
2020-06-23,4
2020-06-24,9
2020-06-25,20
2020-06-26,6
2020-06-27,2
2020-06-28,4
2020-06-29,7
2020-06-30,2
2020-07-01,8
2020-07-02,9
2020-07-03,15
2020-07-04,7
2020-07-05,3
2020-07-06,6
2020-07-07,10
2020-07-08,1
2020-07-09,9
2020-07-10,13
2020-07-11,21
2020-07-12,2
2020-07-13,8
2020-07-14,7
2020-07-15,15
2020-07-16,11
2020-07-17,12
2020-07-18,2
2020-07-19,2
2020-07-20,21
2020-07-21,21
2020-07-22,16
2020-07-23,34
2020-07-24,20
2020-07-25,3
2020-07-26,1
2020-07-27,11
2020-07-28,8
2020-07-29,36
2020-07-30,7
2020-07-31,23
2020-08-01,8
2020-08-02,7
2020-08-03,31
2020-08-04,21
2020-08-05,39
2020-08-06,38
2020-08-07,47
2020-08-08,20
2020-08-09,24
2020-08-10,13
2020-08-11,17
2020-08-12,7
2020-08-13,2
2020-08-14,4
2020-08-15,1
2020-08-17,2
2020-08-18,3
2020-08-19,4
2020-08-20,10
2020-08-21,8
2020-08-22,3
2020-08-23,2
2020-08-24,5
2020-08-25,7
2020-08-26,4
2020-08-27,3
2020-08-28,9
2020-08-29,1
2020-08-30,2
2020-08-31,5
2020-09-01,7
2020-09-02,5
2020-09-03,7
2020-09-04,3
2020-09-05,12
2020-09-06,2
2020-09-07,8
2020-09-08,3
2020-09-09,2
2020-09-10,1
2020-09-11,3
2020-09-12,1
2020-09-13,4
2020-09-14,7
2020-09-15,16
2020-09-16,4
2020-09-17,5
2020-09-18,7
2020-09-20,2
2020-09-21,5
2020-09-22,3
2020-09-23,2
2020-09-24,4
2020-09-25,6
2020-09-26,4
2020-09-28,3
2020-09-29,13
2020-09-30,11
2020-10-01,12
2020-10-02,14
2020-10-03,8
2020-10-04,2
2020-10-05,9
2020-10-06,12
2020-10-07,6
2020-10-08,11
2020-10-09,6
2020-10-10,17
2020-10-11,2
2020-10-12,10
2020-10-13,9
2020-10-14,10
2020-10-15,11
2020-10-16,13
2020-10-17,22
2020-10-18,3
2020-10-19,14
2020-10-20,13
2020-10-21,23
2020-10-22,13
2020-10-23,17
2020-10-24,7
2020-10-25,10
2020-10-26,2
2020-10-27,17
2020-10-28,6
2020-10-29,10
2020-10-30,9
2020-10-31,19
2020-11-01,8
2020-11-02,13
2020-11-03,11
2020-11-04,13
2020-11-05,19
2020-11-06,10
2020-11-07,24
2020-11-08,11
2020-11-09,9
2020-11-10,52
2020-11-11,17
2020-11-12,29
2020-11-13,30
2020-11-14,53
2020-11-15,15
2020-11-16,30
2020-11-17,21
2020-11-18,31
2020-11-19,49
2020-11-20,35
2020-11-21,28
2020-11-22,28
2020-11-23,53
2020-11-24,43
2020-11-25,38
2020-11-26,26
2020-11-27,23
2020-11-28,26
2020-11-29,31
2020-11-30,31
2020-12-01,20
2020-12-02,27
2020-12-03,40
2020-12-04,22
2020-12-05,21
2020-12-06,11
2020-12-07,42
2020-12-08,29
2020-12-09,42
2020-12-10,33
2020-12-11,34
2020-12-12,26
2020-12-13,18
2020-12-14,39
2020-12-15,26
2020-12-16,16
2020-12-17,33
2020-12-18,21
2020-12-19,41
2020-12-20,18
2020-12-21,29
2020-12-22,38
2020-12-23,38
2020-12-24,39
2020-12-25,22
2020-12-26,22
2020-12-27,33
2020-12-28,59
2020-12-29,43
2020-12-30,60
2020-12-31,71
2021-01-01,47
2021-01-02,41
2021-01-03,42
2021-01-04,67
2021-01-05,58
2021-01-06,79
2021-01-07,79
2021-01-08,76
2021-01-09,41
