CaseDate,DailyCount
2020-03-04,1
2020-03-12,1
2020-03-13,2
2020-03-14,10
2020-03-15,7
2020-03-16,4
2020-03-17,24
2020-03-18,23
2020-03-19,18
2020-03-20,21
2020-03-21,48
2020-03-22,83
2020-03-23,38
2020-03-24,87
2020-03-25,149
2020-03-26,170
2020-03-27,190
2020-03-28,257
2020-03-29,346
2020-03-30,237
2020-03-31,403
2020-04-01,249
2020-04-02,488
2020-04-03,511
2020-04-04,466
2020-04-05,255
2020-04-06,475
2020-04-07,412
2020-04-08,397
2020-04-09,339
2020-04-10,418
2020-04-11,438
2020-04-12,275
2020-04-13,358
2020-04-14,255
2020-04-15,329
2020-04-16,395
2020-04-17,411
2020-04-18,195
2020-04-19,303
2020-04-20,296
2020-04-21,356
2020-04-22,283
2020-04-23,350
2020-04-24,341
2020-04-25,374
2020-04-26,208
2020-04-27,295
2020-04-28,92
2020-04-29,120
2020-04-30,318
2020-05-01,233
2020-05-02,144
2020-05-03,291
2020-05-04,150
2020-05-05,163
2020-05-06,149
2020-05-07,96
2020-05-08,160
2020-05-09,225
2020-05-10,157
2020-05-11,163
2020-05-12,152
2020-05-13,276
2020-05-14,213
2020-05-15,176
2020-05-16,539
2020-05-17,143
2020-05-18,122
2020-05-19,65
2020-05-20,327
2020-05-21,183
2020-05-22,157
2020-05-23,124
2020-05-24,218
2020-05-25,113
2020-05-26,96
2020-05-27,142
2020-05-28,256
2020-05-29,164
2020-05-30,200
2020-05-31,138
2020-06-01,83
2020-06-02,245
2020-06-03,272
2020-06-04,215
2020-06-05,224
2020-06-06,329
2020-06-07,227
2020-06-08,236
2020-06-09,256
2020-06-10,295
2020-06-11,254
2020-06-12,692
2020-06-13,292
2020-06-14,264
2020-06-15,518
2020-06-16,506
2020-06-17,560
2020-06-18,551
2020-06-19,615
2020-06-20,902
2020-06-21,426
2020-06-22,674
2020-06-23,907
2020-06-24,879
2020-06-25,1514
2020-06-26,1354
2020-06-27,2129
2020-06-28,1520
2020-06-29,1585
2020-06-30,1132
2020-07-01,2287
2020-07-02,2032
2020-07-03,2435
2020-07-04,2272
2020-07-05,1974
2020-07-06,2030
2020-07-07,2927
2020-07-08,1994
2020-07-09,2344
2020-07-10,2533
2020-07-11,3563
2020-07-12,3226
2020-07-13,2125
2020-07-14,2471
2020-07-15,3071
2020-07-16,2399
2020-07-17,3123
2020-07-18,3224
